Date,Variable,Lower Bound,Upper Bound
01/01/2018,0.37,0.37,0.37
01/02/2018,0.50,0.50,0.50
01/03/2018,0.76,0.76,0.76
01/04/2018,1.23,1.23,1.23
01/05/2018,1.63,1.63,1.63
01/06/2018,2.40,2.40,2.40
01/07/2018,5.50,5.50,5.50
01/08/2018,6.20,6.20,6.20
01/09/2018,8.87,8.87,8.87
01/10/2018,10.66,10.66,10.66
01/11/2018,10.97,10.97,10.97
01/12/2018,12.50,12.50,12.50
01/13/2018,12.60,12.60,12.60
01/14/2018,12.90,12.90,12.90
01/15/2018,13.27,13.27,13.27
01/16/2018,13.77,12.39,15.15
01/17/2018,13.87,12.48,15.26
01/18/2018,13.90,12.51,15.29
01/19/2018,14.20,12.78,15.62
01/20/2018,14.39,12.95,15.83
01/21/2018,14.50,13.05,15.95
01/22/2018,14.76,13.28,16.24
01/23/2018,14.84,13.36,16.32
01/24/2018,14.86,13.37,16.35
01/25/2018,15.14,13.63,16.65
01/26/2018,15.30,13.77,16.83
01/27/2018,15.46,13.92,17.01
01/28/2018,15.63,14.06,17.19
01/30/2018,16.96,15.26,18.65
01/31/2018,17.14,15.43,18.85
02/01/2018,17.32,15.59,19.05
02/02/2018,17.50,15.75,19.25
02/03/2018,17.68,15.92,19.45
02/04/2018,17.87,16.08,19.65
02/05/2018,18.05,16.24,19.85
02/06/2018,18.23,16.41,20.05
02/07/2018,18.41,16.57,20.25
02/08/2018,18.59,16.73,20.45
02/09/2018,18.77,16.90,20.65
02/10/2018,18.96,17.06,20.85
02/11/2018,19.14,17.22,21.05
02/12/2018,19.32,17.39,21.25
02/13/2018,19.50,17.55,21.45
02/14/2018,19.68,17.71,21.65
02/15/2018,19.86,17.88,21.85
02/16/2018,20.05,18.04,22.05
02/17/2018,20.23,18.20,22.25
02/18/2018,20.41,18.37,22.45
02/19/2018,20.59,18.53,22.65
02/20/2018,20.77,18.69,22.85
